name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Inchworm,#B2EC5D,178,236,93,84,61,93
Independence,#4C516D,76,81,109,231,30,43
India green,#138808,19,136,8,115,94,53
Indian red,#CD5C5C,205,92,92,0,55,80
Indian yellow,#E3A857,227,168,87,35,62,89
Indigo,#4B0082,75,0,130,266,100,100
Indigo dye,#091F92,9,31,146,230,94,57
Indigo (web),#4B0082,75,0,130,275,100,51
International Klein Blue,#002FA7,0,47,167,223,100,65
International orange (aerospace),#FF4F00,255,79,0,19,100,100
International orange (engineering),#BA160C,186,22,12,3,94,73
International orange (Golden Gate Bridge),#C0362C,192,54,44,4,77,75
Iris,#5A4FCF,90,79,207,245,62,81
Irresistible,#B3446C,179,68,108,338,62,70
Isabelline,#F4F0EC,244,240,236,30,3,96
Islamic green,#009000,0,144,0,120,100,56
Italian sky blue,#B2FFFF,178,255,255,180,30,100
Ivory,#FFFFF0,255,255,240,60,6,100
Jade,#00A86B,0,168,107,158,100,66
